user_id,matched_user_id,action
U001,U011,1
U001,U091,1
U001,U031,1
U001,U021,1
U001,U071,0
U001,U081,0
U001,U061,0
U001,U051,1
U001,U041,1
U001,U092,1
U001,U082,1
U001,U074,1
U001,U022,1
U001,U002,1
U001,U062,0
U001,U032,0
U001,U012,1
U001,U014,0
U001,U052,0
U001,U094,1
U002,U092,0
U002,U032,1
U002,U012,1
U002,U062,1
U002,U052,0
U002,U042,1
U002,U021,1
U002,U022,1
U002,U072,0
U002,U082,0
U002,U091,0
U002,U001,0
U002,U071,0
U002,U011,0
U002,U031,1
U002,U065,0
U002,U056,0
U002,U051,0
U002,U047,0
U002,U044,0
U003,U083,1
U003,U073,1
U003,U043,1
U003,U013,1
U003,U033,1
U003,U093,1
U003,U053,1
U003,U063,1
U003,U023,0
U003,U067,1
U003,U015,1
U003,U100,1
U003,U086,1
U003,U070,0
U003,U006,0
U003,U097,0
U003,U081,1
U003,U041,0
U003,U042,1
U003,U022,1
U004,U084,1
U004,U024,0
U004,U074,1
U004,U044,1
U004,U064,0
U004,U094,0
U004,U054,0
U004,U014,1
U004,U034,1
U004,U051,1
U004,U026,1
U004,U046,1
U004,U048,0
U004,U037,0
U004,U078,1
U004,U068,0
U004,U058,1
U004,U008,0
U004,U088,1
U004,U028,1
U005,U025,1
U005,U075,1
U005,U065,1
U005,U055,1
U005,U045,0
U005,U035,1
U005,U015,1
U005,U085,0
U005,U095,1
U005,U016,1
U005,U053,1
U005,U014,1
U005,U066,0
U005,U012,0
U005,U031,1
U005,U072,1
U005,U010,1
U005,U019,0
U005,U039,0
U005,U042,0
U006,U066,0
U006,U086,1
U006,U026,0
U006,U076,0
U006,U046,1
U006,U016,1
U006,U036,0
U006,U056,1
U006,U096,1
U006,U097,1
U006,U041,0
U006,U081,0
U006,U067,1
U006,U083,0
U006,U014,1
U006,U034,0
U006,U054,0
U006,U084,1
U006,U074,0
U006,U004,0
U007,U077,1
U007,U037,0
U007,U017,1
U007,U087,0
U007,U067,1
U007,U027,1
U007,U097,1
U007,U047,1
U007,U057,0
U007,U033,0
U007,U056,0
U007,U023,1
U007,U062,1
U007,U052,0
U007,U064,0
U007,U092,1
U007,U034,1
U007,U094,1
U007,U002,0
U007,U032,0
U008,U098,1
U008,U038,1
U008,U088,1
U008,U048,1
U008,U078,0
U008,U068,1
U008,U058,1
U008,U018,1
U008,U028,0
U008,U004,1
U008,U044,1
U008,U084,0
U008,U074,0
U008,U064,1
U008,U024,0
U008,U094,1
U008,U014,1
U008,U085,1
U008,U047,0
U008,U054,1
U009,U049,1
U009,U079,1
U009,U029,1
U009,U039,1
U009,U019,0
U009,U099,0
U009,U089,1
U009,U069,1
U009,U059,0
U009,U058,1
U009,U022,1
U009,U088,0
U009,U030,0
U009,U098,1
U009,U096,0
U009,U028,0
U009,U008,1
